430,syr_422,syr_434,syr_611,syr_612
ܘܐܦ,ܘܐܦ,,ܘܐܦ,ܘܐܦ
ܬܒܗܬܘܬܚܦܪܩܕܡܐܠܗܐܘܒܢܝ̈ܢܫܐ܂ܒܪܝܐܢܚܙܝܬܡܕܡܠܐܬܡܠܠܝܘܗܝ܀,ܕܫܪܐܠܐܬܚܬܘܡ܀,,ܕܫܪܐܠܐܬܚܬܘܡ܀,ܕܫܪܐܠܐܬܚܬܘܡ܀
,,,,ܓ܀
ܒܪܝ,ܒܪܝ,,ܒܪܝ,ܒܪܝ
ܕܐܣܝܪܠܐܬܫܪܐ܆ܘܕܫܪܐ,ܡ̈ܠܐ,,ܡ̈ܠܐ,ܡܠܐ
,ܕܠܐܕܝܠܟ,,ܕܠܐܕܝܠܟ,ܕܠܐܕܝܠܟ
,ܣܦ̈ܘܬܟ,,ܣܦܘ̈ܬܟ,ܣ̈ܦܘܬܟ
ܠܐ,ܠܐ,,ܠܐܢܒܥ̈ܢ܂,ܠܐܢܒܥ̈ܢ܂
ܬܐܣܘܕ܀ܒܪܝܡܡܠܠܟܢܗܘܐܫܦܝܐ܇ܘܗܘܝ̤ܩܠܝܠܠܡܫܡܥܘܡܬܝܢܠܡܬܒܘܦܬܓܡܐ܀ܒܪܝܠܐܬܪܓܫܘܦܪܐܒܪܝܐ܆ܡܛܠܫܘܦܪܐܒܠܐܘܥܒܪ܂ܘܛܒܘܬܐܘܫܡܐܛܒܐܡܩܘܝܢܠܥܠܡ܀ܒܪܠܐܬܣܒܠܟ,ܢܒܥܝܢ܂,,,
,ܐܢܬܬܪܝܡܘܬܚܙܐ,,ܐܢܬܬܪܝܡܘܬܚܙܐ,ܐܢܬܬܪܝܡܘܬܚܙܐ
ܐܢ̄ܬܬܐ,ܐܢܬܬܐܕܡܫܝܚܐ,,ܐܢ̄ܬܫܬܐ,ܐܢ̄ܬܬܐ
ܩܠܢܝܬܐ܂ܡܛܠܕܡܡܠܠܗ̇ܣܡܡܘܬܐܡܘܠܕ܀ܒܪܝܐܢܕܝܢܚܙܝܬܐܢ̄ܬܬܐܡܨܒܬܬܐܒܠܒܘ̈ܫܐܘܪܝܚܡܫܚܢ̈ܐܦܐܚܡܢܗ̇܂ܘܒܢܦܫܗ̇ܢܨܝܬܐܘܦܟܢܝܬܐ,,,ܕܡܫܚܗ,ܕܡܫܚܗ
ܠܐܬܪܓܝܗ܂,ܠܐܬܪܓܝܗ܂,,ܠܐܬܪܓܝܗ܂,ܠܐܬܪܓܝܗ܆
ܐܢܗܘܕܬܬܠ,ܡܛܠܕܐܢܬܬܠ,,ܡܛܠܕܐܢܬܬܠ,ܡܛܠܕܐܢܬܬܠ
ܠܗ̇,ܠܗ̇,,ܠܗ,ܠܗ
ܟܠܡܐܕܐܝܬܠܟܛܒܬܐܒܗ̇,ܟܠܡܕܡ,,ܟܠܡܕܡ,ܟܠܡܕܡ
,ܕܩܢܐ,,ܕܩܢܐ,ܕܩܢܐ
,ܐܢܬ,,ܐܢ̄ܬ܂,ܐܢ̄ܬ܆
,ܡܕܡܕܝܘܬܪܢ,,ܡܕܡܕܝܘܬܪܢ,ܡܕܡܕܝܘܬܪܢ
ܠܐܬܫܟܚ,ܠܐܬܫܟܚ,,ܠܐܬܫܟܚ,ܠܐܬܫܟܚ
,ܒܗ܂,,ܒܗ܂,ܒܗ܂
ܘܬܚܛܐ,ܘܚܛܝܬܐܠܐܠܗܐܬܚܘܒ܂,,ܘܬܚܛܐ,ܘܬܚܛܐ
ܩܕܡܐܠܗܐܘܢܪܓܙܥܠܝܟ܀,,,ܠܐܠܗܟܚܛܝܬܐܪܒܬܐ܀,ܠܐܠܗܟܚܛܝܬܐܪܒܬܐ܀
,,,,ܕ܀
ܒܪܝܠܐܬܗܘܐ,ܒܪܝܠܐܬܗܘܐ,,ܒܪܝܠܐܬܗܘܐ,ܒܪܝܠܐܬܗܘܐ
ܡܣܪܗܒܐ,ܡܣܪܗܒ,,ܡܣܪܗܒ,ܡܣܪܗܒ
,ܒܠܫܢܟ,,ܒܠܫܢܟ,ܠܫܢܟ
ܐܝܟ,ܐܝܟ,,ܐܝܟ,ܐܝܟ
ܐܝܠܢܠܘܙܐ܂ܒܕܩܕܡܟܠܐܝܠܢܡܦܪܥ܂ܘܒܬܪܟܠܐܝܠܢܡܝܬܐܦܐܪ̈ܘܗܝ܂ܒܪܡܗܘܝ,ܠܘܙܐܕܠܘܩܕܡ,,ܠܘܙܐܕܠܘܩܕܡ,ܠܘܙܐܕܠܘܩܕܡ
,ܡܚܘܝܐ,,ܡܚܘܝܐ܂,ܡܚܘܝܐ܂
,ܘܠܚܪܬܐܐܒܗ,,ܘܠܚܪܬܐܐܒܗ,ܘܠܚܪܬܐܐܒܗ
,ܡܬܐ̱ܟܠ܂ܒܪܝܗܘ̤ܝ,,ܡܬܐ̱ܟܠ܀,ܡܬܐܟܠ܀ܗ܀
,,,ܒܪܝܗܘܝ,ܒܪܝܗܘܝ
,ܪܡܝܣܐ,,ܪܡܝܣܐ,ܪܡܝܣܐ
ܐܝܟ,ܐܝܟ,,ܐܝܟ,ܐܝܟ
ܐܝܠܢܬܘܬܐ܂ܕܒܬܪܟܠܐܝܠܢܡܦܪܥܘܩܕܡܟܠܐܝܠܢܝ̈ܢܡܘܟ݁ܠܦܐܪ̈ܘܗܝ܀ܒܪܝܐܡܟܪܫܟܘܚܘܪܠܬܚܬ܆ܘܪܟܟܩܠܟ܆ܘܠܐܬܗܘܐܩܠܥܐܘܬܪܝܡܒܫܘܒܗܪܐ,,,ܐܝܠܢ,ܐܝܠܢ
,ܬܘܬܐܕܚܪܬܐܡܚܘܝܐܠܟ,,ܬܘܬܐܕܚܪܬܐܡܚܘܝܐܠܟ,ܬܘܬܐܕܚܪܬܐܡܚܘܝܐܠܟ
,ܘܒܩܕܡܝܬܐ,,ܘܒܩܕܡܐ,ܘܒܩܕܡܐ
,ܐܒܗ,,ܐܒܗ,ܡܬܐܟܠܐܒܗ܀ܘ܀
,ܡܬܐܟܠ܂,,ܡܬܐ̱ܟܠ܀,
,ܒܪܝܐܪܟܢ,,ܒܪܝܐܪܟܢ,ܒܪܝܐܪܟܢ
,ܥܝܢ̈ܝܟ,,ܥܝܢܝ̈ܟ,ܥܝܢܝ̈ܟ
,ܘܐܡܟ,,ܘܐܡܟ,ܘܐܡܟ
ܩܠܟ܂,ܩܠܟ܂,,ܩܠܟ܂,ܩܠܟ܇
ܒܕܐܢܗܘܐܗ̄ܘܐ,ܘܚܘܪܠܬܚܬܘܗܘܝ,,ܘܚܘܪܠܬܚܬܘܗܘܝ,ܘܚܘܪܠܬܚܬܘܗܘܝ
,,,ܠܟ,ܠܟ
,ܡܛܟܣܐ,,ܡܛܠܒܣܐ,ܡܛܟܣܐ
,ܘܠܐܙܠܝܠܐ܂ܡܛܠܕܐܠܘ,,ܘܠܐܙܠܝܠܐ܂ܡܛܠܕܐܠܘ,ܘܠܐܙܠܝܠܐ܂ܡܛܠܕܐܠܘ
ܒܩܠܐܪܡܐܡܬܒܢܐ,ܒܩܠܐܪܡܐܡܬܒܢܐ,,ܒܩܠܐܪܡܐܡܬܒܢܐ,ܒܩܠܐܪܡܐܡܬܒܢܐ
ܗ̄ܘܐ,ܗ̄ܘ̣ܐ,,ܗ̄ܘܐ,
ܒܝܬܐ܆,ܒܝܬܐ܂,,ܒܝܬܐ܂,ܒܝܬܐ܂
ܚܡܪܐ,ܚܡܪܐ,,ܚܡܪܐ,ܚܡܪܐ
ܬܪܝܢܒܝܬܝ̈ܢܒܥܐܗ̄ܘܐ,ܬܪ̈ܬܝܢ,,ܬܪ̈ܬܝܢ,ܬܪܬܝܢ
,ܒܝܪ̈ܢ,,ܒܝܪ̈ܢ,ܒܝܪ̈ܢ
ܒܝܘܡܐ,ܒܝܘܡܐ,,ܒܝܘܡܐ,ܒܝܘܡܐ
ܚܕ܀ܘܐܢܕܝܢܦܪܕܢܐ,ܒܢܐ,,ܒܢܐ,ܒܢܐ
,ܗ̄ܘܐ܂,,ܗ̄ܘܐ܂,ܗ̄ܘܐ܀ܙ܀
,ܘܐܠܘ,,ܘܐܠܐ,ܘܐܠܘ
,ܒܚܝܠܐܬܩܝܦܐ,,ܒܚܝܠܐܬܩܝܦܐ,ܒܚܝܠܐܬܩܝܦܐ
ܡܬܕܒܪܐ,ܡܬܕܒܪܐ,,ܡܬܕܒܪܐ,ܡܬܕܒܪܐ
ܗ̄ܘܬ,,,ܗ̄ܘܬ,ܗ̄ܘܬ
ܒܩܠܐܪܡܐܘܒܚܝܠܐ܂ܠܐܡܡܕܐ,,,,ܦܕܢܐ܆ܚܪܒܐ
ܗ̄ܘ̣ܬ,ܗ̄ܘ̣ܬ,,,
ܡ̣ܢܬܚܝܬܫܚ̈ܘܬܐܕܓܡܠܐ܀,ܦܕܢܐ܂ܚܪܒܗ,,ܦܕܢܐ܂ܚܪܒܗ,
,ܕܦܕܢܐ,,ܕܦܕܢܐ,ܕܦܕܢܐ
,ܡ̣ܢ,,ܡܢ,ܡܢ
,ܩܕܠܗܕܓܡܠܐܠܐܡܬܓܪܕܝܐ,,ܩܕܠܗܕܓܡܠܐܠܐܡܬܓܪܕܝܐ,ܩܕܠܗܕܓܡܠܐܠܐܡܬܓܪܕܝܐ
,ܗ̄ܘ̣ܬ܂,,ܗ̄ܘܬ܀,ܗ̄ܘܬ܀
,,,,ܚ܀
ܒܪܝ,ܒܪܝ,,ܒܪܝ,ܒܪܝ
ܠܡܛܥܢܟܐܦ̈ܐ,,,,
,ܛܒ,,ܛܒ,ܛܒ
,ܠܡܬܗܦܟܘ,,ܠܡܬܗܦܟܘ,ܠܡܬܗܦܟܘ
ܥܡܓܒܪܐ,ܥܡܓܒܪܐ,,ܥܡܓܒܪܐ,ܥܡܓܒܪܐ
ܛܒ,,,,
,ܚܟܝܡܐ܂ܘܠܐ,,ܚܟܝܡܐ܂ܘܠܐ,ܚܟܝܡܐ܂ܘܠܐ
ܚܟܝܡܝܬܝܪܡ̣ܢܡܫܬܝܐܕܚܡܪܐ,,,,
ܥܡܓܒܪܐ,ܥܡܓܒܪܐ,,ܥܡܓܒܪܐ,ܥܡܓܒܪܐ
ܒܝܫܐ܀,ܣܟܠܐ܀,,ܣܟܠܐ܀,ܣܟܠܐ܀
,,,,ܛ܀
ܒܪܝܐܫܘܕܚܡܪܟܥܠ,ܒܪܝܐܫܘܕܚܡܪܟܥܠ,,ܒܪܝܐܫܘܕܚܡܪܟܥܠ,ܒܪܝܐܫܘܕܚܡܪܟܥܠ
ܩܒܪ̈ܐ,ܩܒܪܐ,,ܩܒܪܐ,ܩܒܪܐ
ܕܙܕܝܩ̈ܐ܂ܘܠܐܬܫܬܝܘܗܝܥܡ,ܕܙܕܝܩ̈ܐ܂ܘܠܐܬܫܬܝܘܗܝܥܡ,,ܕܙܕܝܩ̈ܐ܂ܘܠܐܬܫܬܝܘܗܝܥܡ,ܕܙܕܝܩ̈ܐ܂ܘܠܐܬܫܬܝܘܗܝܥܡ
ܥܘ̈ܠܐ܀ܒܪܝܐܬܚܒܪܥܡܚܟܝ̈ܡܐܘܕܚܠܝ̈ܐܠܗܐ܂ܕܬܗܘܐܐܟܘܬܗܘܢ܂ܘܠܐܬܚܒܪܓܒܪ̈ܐܥܘ̈ܠܐܕܠܡܐܬܕܡܐܠܗܘܢ܂ܘܬܐܠܦܐܘܪ̈ܚܬܗܘܢܘܢܪܓܙܥܠܝܟܐܠܗܐ܀ܒܪܝܩܕܡܕܢܬܡܚܫܠܝܡܐܓܕܐܠܦܟܠܠܡܐܢܐ܂ܟܐܡܬܟܡܐܕܚܝܐܢ̄ܬܐܬܕܟܪܚܪܬܟ܀ܒܪܝܥܬܝܪܐܐܟܠܓܝܪܚܘܝܐܐܡܪܝܢܡܛܠܚܘܠܡܢܐܐܟܠ܂ܘܐܢܕܝܢܡܣܟܢܐܐܟܠܠܗܐܡܪܝܢܡ̣ܢܟܦܢܗܐܟܠ܀ܒܪܝܡܣܬܟܐܟܘܠ܂ܘܠܐܬܪܓܕܐ̄ܚܪ̈ܢܐ܀ܒܪܝܥܡܡ̇ܢܕܠܐܢܟܦܠܐܬܐܟܘܠܠܚܡܐ܂ܘܠܐܬܩܛܘܪܥܡܗܐ̄ܪܙܐ܀,ܐܢܫ̈ܐ,,ܐܢܫܐ,ܐ̄ܢܫ̈ܐ
,ܣܟ̈ܠܐ܀,,ܣܟ̈ܠܐ܀,ܣܟ̈ܠܐ܀
,,,,ܝ܀
,ܒܪܝܥܪܘܩ,,ܒܪܝܥܪܘܩ,ܒܪܝܥܪܘܩ
,ܡ̣ܢܐܢܬܬܐ,,ܡܢܐܢ̄ܬܬܐ,ܡܢܐܢ̄ܬܬܐ
,ܢܨܝܬܐ,,ܢܨܝܬܐ,ܢܨܝܬܐ
,ܘܦܟܢܝܬܐ܂,,ܘܦܟܢܝܬܐ܀,ܘܦܟܢܝܬܐ܀
,,,,ܝܐ܀
,ܒܪܝܒܬܪܫܘܦܪܐ,,ܒܪܝܒܬܪܫܘܦܪܐ,ܒܪܝܒܬܪܫܘܦܪܐ
,ܕܐܢܬܬܐ,,ܕܐܢ̄ܬܬܐ,ܕܐܢ̄ܬܬܐ
,ܠܐ,,ܠܐ,ܠܐ
,ܬܐܙܠ,,ܬܐܙܠ,ܬܙܠ
,ܘܠܐܬܪܓܝܗܒܠܒܟ܂ܡܛܠܕܫܘܦܪܗ,,ܘܠܐܬܪܓܝܗܒܠܒܟ܂ܡܛܠܕܫܘܦܪܗ,ܘܠܐܬܪܓܝܗܒܠܒܟ܂ܡܛܠܕܫܘܦܪܗ
,ܕܐܢܬ݂ܬܐܛܥܡܗ̇ܘܡܠܬܗ̇ܘܗܕܪܗ܂,,ܕܐܢ̄ܬܬܐܛܥܡܗܘܡܠܬܗܘܗܕܪܗܐܝܬܘܗܝ܀,ܕܐܢ̄ܬܬܐܛܥܡܗܘܡܠܬܗܘܗܕܪܗܐܝܬܘܗܝ܀
,,,,ܝܒ܀
,,,ܒܪܝ,ܒܪܝ
,ܐܢܐܪܥܟܐ̄ܢܫ,,ܐܢܐܪܥܟܐ̄ܢܫ,ܐܢܐܪܥܟܐ̄ܢܫ
,ܒܒܝܫܘ,,ܒܒܝܫܘ܂,ܒܒܝܫܘ܇
,ܐܪܘܥ,,ܐܪܘܥ,ܐܪܘܥ
,ܐܢܬ݁ܒܚܟܡ̱ܬܟ܂܂,,ܐܢ̄ܬܒܚܟܡ̱ܬܟ܂,ܐܢ̄ܬܒܚܟܡ̱ܬܟ܂
ܒܪܝ,ܒܪܝ,,ܒܪܝ,ܒܪܝ
ܦܪܘܥܛܒܬܐܠܕܐܣܟܠܒܟ܂ܘܠܐܬܚܕܐܒܒܝܫܬܗܘܢ܀ܒܪܝܠܐܬܩܪܘܒܠܐܢ̄ܬܬܐܢܨܝܬܐܘܩܠܢܝܬܐ܀ܒܪܝܚܟܝܡܐ,,,,
ܢܦܠ,ܢܦܠ,,ܢܦܠ,ܢܦܠ
ܘܩܐܡ܂ܘܟܐܢܐܠܐܡܙܕܥܙܥ܀ܒܪܝܐܢܡܬܟܪܗܚܟܝܡܐܡܩܒܠܐܣܝܘܬܐ܂ܒܪܡܣܟܠܐܠܝܬܠܟܘܪܗܢܗܣܡܐܒܪܝܐܢܐܣܬܩܒܠܠܟܨܪܝܟܐܘܡܣܟܢܐܩܘܡܩܕܡܘܗܝܒܦܨܝܚܘܬܐ܂ܘܐܢܗܘܠܐܦܪܥܠܟ܂ܢܦܪܥܟܐܠܗܐ܀ܒܪܝܠܐܬܡܐܢܠܟܒܡܪܕܘܬܒܪܟ܂ܡܛܠܕܡܚ̈ܘܬܐ,ܥܘܠܐܘܩܐܡܙܕܝܩܐ,,ܥܘܠܐܘܩܐܡܙܕܝܩܐ,ܥܘܠܐܘܩܐܡܙܕܝܩܐ
,ܥܠܕܘܟܬܗ܂,,ܒܕܘܟܬܗ܀,ܒܕܘܟܬܗ܀
,,,ܒܪܝ,ܝܓ܀
,ܒܪܝ,,,ܒܪܝ
,ܒܪܟ,,ܒܪܟ,ܒܪܟ
,ܡ̣ܢܡܚ̈ܘܬܐ,,ܡܢ,ܡܢ
,,,ܡܚܘ̈ܬܐ,ܡܚܘܬܐ
,ܠܐܬܟܠܐ܂ܡܛܠܕܡܚܘܬܐ,,ܠܐܬܟܠܐ܂ܡܛܠܕܡܚܘܬܐ,ܠܐܬܟܠܐ܂ܡܛܠܕܡܚܘܬܐ
ܠܛܠܝܐܐܝܟܙܒܠܐ,ܠܛܠܝܐܐܝܟܙܒܠܐ,,ܠܛܠܝܐܐܝܟܙܒܠܐ,ܠܛܠܝܐܐܝܟܙܒܠܐ
ܠܙܪܥܐ,ܠܐܪܥܐ܂,,ܠܐܪܥܐ܂,ܠܐܪܥܐ܂
ܘܐܝܟܐܣܪܐ,ܘܐܝܟܐܣܪܐ,,ܘܐܝܟܐܣܪܐ,ܘܐܝܟܐܣܪܐ
ܠܚܝܘ̄ܬܐ܂,ܠܚܝܘ̄ܬܐ܂,,ܠܚܝܘ̄ܬܐ܂,ܠܚܝܘܬܐ܂
ܘܐܝܟ,ܘܐܝܟ,,ܘܐܝܟ,ܘܐܝܟ
ܬܪܥܐܠܒܝܬܐܐܝܬܝܗܝܢ܀ܒܪܝܪܕܝ,ܙܓܡܐܠܬܪܥܐ܇,,ܙܘܓܡܐܠܬܪܥܐ܀,ܙܘܓܡܐܠܬܪܥܐ܀
,,,,ܝܕ܀
,ܒܪܝܟܒܫ,,ܒܪܝܟܒܫ,ܒܪܝܟܒܫ
ܒܪܟ,ܒܪܟ,,ܒܪܟ,ܒܪܟ
ܒܛܠܝܘܬܗ܂ܕܠܐܢܪܒܐܘܢܡܪܕ܂ܘܒܝܬܪ̈ܚܡܝܟܬܒܗܬ܀,ܥܕ,,ܥܕ,ܥܕ
,ܗܘ̤,,ܗܘ,ܗܘ
,ܙܥܘܪ܂ܘܦܩܥ,,ܙܥܘܪ܂ܘܦܩܥ,ܙܥܘܪ܂ܘܦܩܥ
,ܡܬܢܬܗ,,ܡܬܬܗ,܆ܡܬ̈ܢܬܗ
,ܥܕ,,ܥܕ,ܥܕ
,ܗܘ̤,,ܗܘ,ܗܘ
,ܛܠܐ܂,,ܛܠܐ܂,ܛܠܐ܂
,ܥܕܠܐ,,ܥܕܠܐ,ܥܕܠܐ
,ܢܥܫܢܠܗܡܢܟ܂,,ܢܥܫܢܠܗܡܢܟ܂,ܢܥܫܢܠܗܡܢܟ܂
,ܘܒܣܘܪ̈܏ܚܢܘܗܝܬܬܢܟܦ܀,,ܘܒܣܘܪ̈ܚܢܘܗܝܬܒܗܬܘܬܬܢܟܦ܀,ܘܒܣܘܪ̈ܚܢܘܗܝܬܒܗܬܘܬܬܢܟܦ܀
ܒܪܝܩܢܝ,ܒܪܝܩܢܝ,,,ܝܗ܀
ܠܟ,ܘܪܐܡܪܒܥܐ܂,,ܒܪܝܠܐܬܩܢܐ,ܒܪܝܠܐܬܩܢܐ
ܬܘܪܐ,,,ܬܘܪܐ,ܬܘܪܐ
ܡܡܨܥܐ܆,,,ܡܪܒܥܐ܂,ܡܪܒܥܐ
ܘܚܡܪܐ,ܘܚܡܪܐ,,ܘܚܡܪܐ,ܘܚܡܪܐ
ܕܦܪ̈ܣܬܗܪܘܪ̈ܒܬܐ܂ܘܠܐܬܩܢܐܬܘܪܐܩܪܢܢܐ܂ܘܠܐܬܚܒܕܓܒܪܐܫܥܥܐ܀ܒܪܝܠܐ,ܦܪܣܢܐ܂,,ܦܪܣܢܐ܂,ܦܪܣܢܐ܂
ܬܩܢܐܥܒܕܐ,ܬܩܢܐܥܒܕܐ,,ܘܥܒܕܐ,ܘܥܒܕܐ
ܥܪܝܩܡ̣ܢܡܪܗܘܠܐܐܡܬܐܓܢܝܒܬܐ܆ܒܕܟܠܡܐܕܬܫܠܡܒܐܝܕܗܘܢܢܐܒܕ܀ܒܪܝܡܡܠܠܐܕܕܓܠ̈ܐܕܡܐܠܨܦܪ̈ܐܕܦܪ̈ܚܝܢܒܐܙܪ܆ܘܐܦܢܫܡܝܢܝܢܘܗܘܕܠܐܡܕܥܡܗܝܡ̣ܢܠܗܘܢ܀ܒܪܝܠܐܬܫܒܘܩܕܢܠܘܛܘܢܟܐܒܗܝ̈ܟ܂ܡܛܠܕܐܠܗܐܫܡܥܩܠܗܘܢ܀,ܥܪܘܩܐܘܐܡܬܐ,,ܥܪܘܩܐܘܐܡܬܐ,ܥܪܘܩܐܘܐܡܬܐ
,ܓܢܒܬܐ܂,,ܓܢܒܬܐ܂,ܓܢܒܬܐ܇
,ܕܠܐܟܠܕܐܝܬ,,ܕܠܐܟܠܕܐܝܬ,ܕܠܐܟܠܕܐܝܬ
,ܠܟ܂,,ܠܟ܂,ܠܟ
,ܡܘܒܕܝܢܠܗ,,ܡܘܒܕܝܢܠܗ,ܡܘܒܕܝܢܠܗ
,ܡܢܟ܂,,ܡܢܟ܀,ܡܢܟ܀
,,,,ܝܘ܀
,ܒܪܝܡ̈ܠܐܕܐ̄ܢܫ̈ܐܕܓ̈ܠܐܐܝܟܨܦܪ̈ܐ,,ܒܪܝܡ̈ܠܐܕܐ̄ܢܫ̈ܐܕܓ̈ܠܐܐܝܟܨܦܪ̈ܐ,ܒܪܝܡ̈ܠܐܕܐ̄ܢܫ̈ܐܕܓ̈ܠܐܐܝܟܨܦܪ̈ܐ
,ܕܫܡ̈ܝܢܢ܂ܘܡ̇ܢ,,ܕܫܡܝܢܢ܂,ܕܫܡ̈ܝܢܢ
,,,ܘܡܢ,ܘܡܢ
,ܕܐܝܬ,,ܕܐܝܬ,ܕܐܝܬ
,ܠܗܠܒܐ,,ܠܗܠܒܐ,ܠܒْܐ
,ܐܟܠ,,ܐܟܠ,ܐܟܠ
,ܠܗܝܢ܂,,ܠܗܝܢ܀,ܠܗܝܢ܀
,,,,ܝܙ܀
,ܒܪܝ,,,ܒܪܝ
,ܠܘܛܬܐܕܐܒܘܟ,,ܠܘܛܬܐܕܐܒܘܟ,ܠܘܛܬܐܕܐܒܘܟ
,ܘܕܐܡܟ,,ܘܕܐܡܟ,ܘܐܡܟ
,ܠܐܬܝܬܐܥܠܝܟ܂ܕܠܡܐ,,ܠܐܬܝܬܐܥܠܝܟ܂ܕܠܡܐ,ܠܐܬܝܬܐܥܠܝܟ܂ܕܠܡܐ
,ܒܛܒ̈ܬܐ,,ܒܛ̈ܒܬܐ,ܒܛ̈ܒܬܐ
,ܕܒܢܝ̈ܟܠܐܬܚܙܐ܀,,ܕܒܢܝ̈ܟܠܐܬܚܙܐ܀,ܕܒܢܝ̈ܟܠܐܬܚܙܐ܀
,,,,ܝܚ܀
ܒܪܝܠܐ,ܒܪܝܠܐ,,ܒܪܝܠܐ,ܒܪܝܠܐ
ܬܐܙܠ,ܬܐܙܠ,,ܬܐܙܠ,ܬܙܠ
ܒܐܘܪܚܐ,ܒܐܘܪܚܐ,,ܒܐܘܪܚܐ,ܒܐܘܪܚܐ
ܒܠܥܕ,ܕܠܐ,,ܕܠܐ,ܕܠܐ
ܙܝܢܐ܂,ܙܝܢܐ܂,,ܙܝܢܐ܂,ܙܝܢܐ܂
܏ܗ܂܏ܕ܂ܕܘܟܪܢܐܕܐܠܗܐܠܐܢܦܠܛܟ܂_ܒܕܠܐܝܕܥܬܐܡܬܝܡܣܬܩܒܠܠܟܒܥܠܕܒܒܐ܀ܒܪܝܗܘܝܡܛܝܒܐܒܐܘܪܚܐܘܙܗܝܪܡܛܠܒܥܠܕܒܒܝ̈ܟܣܓܝܐܝܢܐܢܘܢ܀,ܡܛܠܕܠܐ,,ܡܛܠܕܠܐ,ܡܛܠܕܠܐ
,ܝܕܥ,,ܝܕܥ,
,ܐ̄ܢܬ݁,,ܐܢ̄ܬ,
,ܐܝܠܝܢ,,ܐܝܠܝܢ,ܐܝܠܝܢ
,ܒܥܠܕܒܒ̈ܐ,,ܒܥܠܕܒ̈ܒܐ,ܒܥܠܕܒܒ̈ܐ
,ܐܪܥܝܢ,,ܐܪܥܝܢ,ܐܪܥܝܢ
,ܠܟ܂,,ܠܟ܀,ܠܟ܀
,,,,ܝܛ܀
ܒܪܝܐܝܟ,ܒܪܝܐܝܟ,,ܒܪܝܐܝܟ,ܒܪܝܐܝܟ
,ܕܗܕܝܪܐ,,ܕܗܕܝܪܐ,ܕܗܕܝܪ
