430,syr_422,syr_434,syr_611,syr_612
ܕܢܩܫܬܥܘܩܣܗܒܢܚܫܐ,,,ܕܡܚܬܥܘܩܣܗ̇ܒܫܘܥܐ,ܕܡܚܬܥܘܩܣܗ̇ܒܫܘܥܐ
ܘܠܐ,,,ܘܠܐ,ܘܠܐ
ܐܪܓܫ܂ܘܡܚܬܗܠܡܚܛܐܗܝܕܝܢܐܡܪܬ,,,ܪܓܫ,ܪܓܫ
,,,ܒܗ̇܂,ܒܗ̇܆
,,,ܘܡܚܬ̤ܒܡܚܛܐ܂ܘܐܡܪܬ̤,ܘܡܚܬ̤ܒܡܚܛܐ܂ܘܐܡܪܬ̤
ܡܚܛܐ,,,ܡܚܛܐ,ܡܚܛܐ
ܠܥܩܪܒ݂ܐ,,,ܠܥܩܪܒܐ܂,ܠܥܩܪܒܐ܇
ܗܐ,,,ܗܐ,ܗܐ
ܗܘ̤ܐ,,,ܥܘ̣ܩܣܝ,
ܥܘܩܣܝ,,,,ܥܘܩܣܝ
ܝܬܝܪ,,,ܩܫܐܗ̄ܘ,ܩܫܐܗ̄ܘ
ܡ̣ܢ,ܡ̣ܢ,,,
ܕܝܠܟܝ܂ܐܘ,ܥܠܝܡܘܬܥܘܪܒܐܣܪܝܐ܂,,,
ܒܪܝ,ܒܪܝ,,,
ܗ̄ܘܝܬܠܝ,ܐܡܪܘܠܕܐܒܐܐܬܪܚ̄ܩ,,,
,ܡ̣ܢ,,ܡ̣ܢ,ܡ̣ܢ
,ܩܪܝܒܘܬܗܕܥܢ̈ܐܕܠܐܬܐܬܐܢܦܬܗܥܠܝܟ܂,,ܕܝܠܟܝ܀,ܕܝܠܟܝ܀
,ܐܡܪ,ܐܡܪ,,܂܂ܕ܂܂
,ܕܝܢܕܐܒܐ,ܠܗܦܚܐܠܐܠܗܐܡܨܠܢܐ܂ܘܐܡܪܩܦܫܝܢܐ܂ܘܗܢܐܕܥܠܦܪܨܘܦܟܡܢܐܗܘ܂ܘܐܡܪܠܗܠܚܡܟܦ̈ܢܐܗܘ܁ܘܩܪܒܩܦܫܝܢܐܕܢܠܥܣ܆ܘܠܒܟܗܒܨܘܪܗ܂ܘܚܢܩܗܘܐܠܗܘܐܡܪܠܗܩܦܫܝܢܐ܂ܐܢܗܢܘܠܚܡܟܦ̈ܢܐܕܝܠܟ܂ܐܠܗܐܕܡܨܠܐܐܢܬܠܗܠܐܢܫܡܥܒܩܠܟ܀ܐܚܪܢܐ,ܒܪܝܗܘܝܬܠܟܗܟܝܠܐܝܟܐ̄ܢܫܕܫܩܠܟܐܦ̈ܐܕܢܪܓܘܡ,ܒܪܝܗܘܝܬܠܟܗܟܝܠܐܝܟܐ̄ܢܫܕܫܩܠܟܐܦ̈ܐܕܢܪܓܘܡ
,,,ܠܐܠܗܐ܂,ܠܐܠܗܐ܇
,,,ܘܟܐܦܘ̈ܗܝܠܐ,ܘܟܐܦܘ̈ܗܝܠܐ
,,,ܡܬܡܢܥܝܢ܂,ܡܬܡܢܥܝܢ܇
,,,ܘܡܩܕܐܠܗܚܛܗܐ,ܘܡܩܕܐܠܗܚܛܗܐ
,,,ܪܒܐ܀,ܪܒܐ܀ܗ܀
,,,ܒܪܝܗܘܝܬܠܟ,ܒܪܝܗܘܝܬܠܟ
ܐܝܟܥܙܐܕܩܡܬܥܠ,,,ܐܝܟܥܙܐܕܩܡܬܥܠ,ܐܝܟܥܙܐܕܩܡܬܥܠ
ܥܣܒܐ,,,ܥܣܒܐ,ܕܦܘܬܐ
ܕܦܘܬܐ,,,ܕܦܘܬܐ,ܥܣܒܐ
ܕܬܐܟܘܠ,,,ܕܬܐܟܘܠܝ,ܕܬܐܟܘܠ
ܡܢܗ,,,ܡܢܗ܂,ܡܢܗ܂
ܐܡܪܬܦܘܬܐ,,,ܐܡܪܬܦܘܬܐ,ܐܡܪܬܦܘܬܐ
ܠܥܙܐܡܛܠܡ̇ܢܐܟܠܬܝ܂ܡܢܝܕܡܟܟܝ,,,ܠܥܙܐ܂ܠܡܢܐ,ܠܥܙܐ܂ܠܡܢܐ
,,,ܐܟܠܐܐܢ̄ܬܝܡܢܝ܂,ܐܟܠܬܝܡܢܝ܆
,,,ܕܓܠܕܟܝ,ܕܓܠܕܟܝ
ܒܝ,,,ܒܝ,ܒܝ
ܡܨܛܒܥ܂ܦܢܝܬ,,,ܨܒܥܝܢܠܗ܂ܐܡܪܬܕܝܢ,ܨܒܥܝܢܠܗ܂ܐܡܪܬܕܝܢ
ܥܙܐ,,,ܥܙܐ,ܥܙܐ
ܘܐܡܪܬܟܕܒܚܝ̈ܐܐܝܬܝ,,,ܒܚܝ̈ܝ,ܒܚܝܝ
,,,ܡܢܟܝ,ܡܢܟܝ
ܐܟܠܐ,,,ܐܟܠܐ,ܐܟܠܢܐ܂
ܡܢܟ܂ܘܟܕܐܡܘܬܝܡܦܩܝܥܩܪܟܘܨܒܥܝܢ,,,ܐ̄ܢܐ܂,
,,,ܘܒܡܘܬܝ,ܘܒܡܘܬܝ
,,,ܒܥܢ̈ܩܟܝܓܠܕܝܡܨܬܒܢܢܐ܀ܒܪܝܗܘܝܬܠܝ,ܒܥܢܩܟܝ
ܡܫܟܝ,,,,ܡܫܟܝ
ܒܗ܂ܐܘ̇ܒܪܝܗܘܝܬܠܝܐܝܟܐ̄ܢܫܐܕܢܣܒܟܐ̈ܦܐܕܢܪܓܘܡܠܐܠܗܐ܂ܘܟܐ̈ܦܐܠܐܡܛܝܢܒܪܡܗܦ̈ܟܢܥܠܘܗܝܘܐܦܩܢܐܚܛܝܬܐ܂ܐܘ̇ܒܪܝܗܘܝܬܠܝ,,,,ܡܨܬܒܥܐܐ̄ܢܐܓܠܕܝ܀ܘ
,,܀,,܀
,,ܟܟܘܫܬܐܐܡܪܝܢܠܗ܂ܫܒܘܩܝܓܢܒܘܬܟܝ܆ܕܬܗܘܝܢܥܐܠܐܠܒܝܬܡ̈ܠܟܐ܂,,ܒܪܝܗܘܝܬܠܟ
ܐܝܟ,,ܐܝܟ,ܐܝܟܐ̄ܢܫܕܚܙܐܟܢܬܗܕܡ̣ܢ,ܐܝܟܐ̄ܢܫܕܚܙܐܟܢܬܗܕܡ̣ܢ
ܓܒܪܐܕܪܐܬ,,ܫܐܠܬܢܦܫܟܝ܂ܐܡܪܐܠܗܘܢܐܢܢܗܘܘܢܠܝܥܝܢ̈ܐܕܕܗܒܐܘܐܕܢ̈ܐܕܣܐܡܐ܆ܐܢܐ,,
ܡܢ,,ܡܢ,,
ܩܘܪܫܐ,,ܓܢܒܘܬܝ,ܩܘܪܫܐ,ܩܘܪܫܐ
ܘܐ̄ܚܪܢܐܢܣܟܥܠܘܗܝܩܘܠܬܐܕܡܝ̈ܐ܂ܐܘܒܪܝܬܗܘܐ,,,ܪܥܠ܂ܫܩܠ,ܪܥܠ܂ܫܩܠ
,,,ܕܡܝ̈ܐ,ܡܝ̈ܐ
,,,ܘܢܣܟܒܪܫܗ܀,ܘܢܣܟܒܪܫܗ܀
,,,,ܙ܀
,,,ܒܪܝ,ܒܪܝ
,,,ܗܘ̇ܝܬ܂,ܗܘܝܬ
ܝܕܥ,,,ܝܕܥ,ܝܕܥ
ܐܢܗܘܕܢܐܪܟܕܘܢܒܐܕܟܠܒܐ,,,ܕܐܢܢܐܪܟ,ܕܐܢܢܐܪܟ
,,,ܕܘܢܒ̇ܗ,ܕܘܢܒܗ
,,,ܕܚܙܝܪܐ,ܕܚܙܝܪܐ
ܫܒܥ,,,ܫܒ̣ܥ,ܫܒܥ
ܐܡ̈ܝܢܒܕܘܟܬܐܕܣܘܣܝܐ,,,ܐܡ̈ܝܢ܂ܠܐܩܐܡܒܕܘܟܬܣܘܣܝܐ܂ܘܐܦܠܐܐܢ,ܐܡ̈ܝܢ܂ܠܐܩܐܡܒܕܘܟܬܣܘܣܝܐ܂ܘܐܦܠܐܐܢ
ܠܐ,ܠܐ,ܠܐ,,
ܩܐܡ܆ܘܐܦܢ,ܡܬܪܚܩܢܐܒܕܢܦܬܐܓܝܪܕܥܢܐܣܡܐܗ̄ܝܠܥܝܢܝ̈܂,ܫܠܝܐܐܢܐ܀ܐܚܪܢܐܐܡܪܝܢܠܗܠܕܐܒܐ܂ܦܪܘܫܠܟܡܢܥܢ̈ܐܐܡܪܠܗܘܢܚܠܗܛܒܛܒܡܘܬܪܠܥܝܢ̈ܝ܀ܐܚܪܢܐ܀,,
ܢܗܘܐܣܥܪܗ,,,ܢܗܘܐܣܥܪܗ,ܢܗܘܐܣܥܪܗ
ܪܟܟܝܟܡ̣ܢܙܚܘܪܝܬܐ܂ܐܘ,,,ܪܟܝܟܐܝܟ,ܪܟܝܟܐܝܟ
,,,ܬܟ̱ܠܬܐ܀,ܬܟܠܬܐ܀ܚ܀
ܒܪܝ,ܒܪܝ,,ܒܪܝ,ܒܪܝ
ܐܢܐܐܡܪܬ,ܐܥܠܘܗܝ,ܐܥܠܘܗܝ,ܐܢܐܐܡܪܬ,ܐܢܐܐܡܪܬ
ܬܩܘܡܒܕܘܟܬܝ,ܕܐܒܐܠܘܬܣܦܪ̈ܐܕܢܐܠܦ,ܠܕܐܒܐܠܒܝܬ,ܕܐܢ̄ܬܬܗܘܐܚܠܦܝ܂ܘܬܐܚܘܕܕܘܟܬܝ܂,ܕܐܢ̄ܬܬܗܘܐܚܠܦܝ܂ܘܬܐܚܘܕܕܘܟܬܝ܂
ܘܬܩܢܐ,ܣܦܪܐ,ܣܦܪܐ,ܘܬܩܢܐ,ܘܬܩܢܐ
ܝܘܠܦܢ܂ܐܢ̄ܬ,ܐܡܪ,ܘܐܡܪܝܢܠܗܩܪ̈ܝ,ܝܘܠܦܢܝ̈ܘܗܘܦܟܝ̈ܟܠܗܘܢ܂ܐܢ̄ܬ,ܝܘܠܦܢܝ̈ܘܗܘܦܟܝ̈ܟܠܗܘܢ܂ܐܢ̄ܬ
,ܗܟܝܠ,,ܗܟܝܠ,ܗܟܝܠ
,ܡܠܦܢܐܐܡܪ,,ܠܝܘܠܦܢܝ̈ܠܐܩܒܠܬ̇ܘܠܡ̈ܠܝܠܐ,ܠܝܘܠܦܢܝ̈ܠܐܩܒܠܬ̇ܘܠܡ̈ܠܝܠܐ
,ܐܠܦܒܝܬ܂,ܐܠܦܒܝܬ܂,ܫܡܥܬ݁܂,ܫܡܥܬ܂
,ܥܢܐ,,,
ܕܝܢ,ܕܝܢ,,,
ܣܢܝܬܡܪܕܘܬܝܘܠܐܫܡܥܬܡܠܬܝ,ܕܐܒܐ,,,
ܘܠܐ,,,ܘܠܐ,ܘܠܐ
ܕܚܠܬ,,,,
ܠܐܠܗܐ,,,ܠܐܠܗܐ,ܠܐܠܗܐ
,,,ܐܟܫܪܬ܂,ܐܟܫܘܬ܂ܘܠܐܗܘ
ܘܠܐ,,,ܘܠܐ,
ܫܡܥܩܠܟ܂ܐܘ̇ܒܪܝܗܘ̇ܝܬܠܝܐܝܟܐܪܝܐܕܚܙܐܚܡܪܐ,,,ܗܘ̣,
,,,ܫܡܥܩܠܟ܀,ܫܡܥܩܠܟ܀
,,,ܒܪܝܗܘܝܬܠܝܐܝܟ,ܛ܀ܒܪܝܗܘܝܬܠܝܐܝܟ܂
,,,ܐܪܝܐܕܐܪܥ,ܐܪܝܐܕܐܪܥ
,,,ܚܡ̣ܪܐ,ܚܡܪܐ܇
ܒܥܕܢ,,,ܒܥܕܢ,ܒܥܕܢ
ܨܦܪܐ,,,ܨܦܪܐ܂,ܨܦܪܐ܂
ܘܐܡܪ,ܘܐܡܪ,,ܘܐܡܪ,ܘܐܡܪ
,ܐܡܪܐܓܕ݂ܝܐܐܟܡܐܕܒܟܪܣܝ܂ܒܪܝܡ̣ܢܙܒ݂ܢܐܕܐܠܦܬܟܠܐ,,ܓܝܪܐܪܝܐ,ܓܝܪܐܪܝܐ
,ܐܡܪ,ܐܡܪ,ܠܚܡܪܐ܂,ܠܚܡܪܐ܇
ܫܠܡ,ܗ̄ܘܝܬ,,ܫܠܡ,ܫܠܡ
ܠܟ,ܠܟ,,ܗ̄ܘܡܐܬܝܟ܂,ܗ̄ܘܡܐܬܝܟ܂
ܐܚܝ܂ܗܘ̤ܚܡܪܐܦܢܝ,ܕܐܠܗܐܫܠܝܛܐܗَܘ̣ܘܕܝܢܐܬܪܝܨܐܕܥܒܕܝܢܓܝܪܛܒܬܐܦܪܥ,,ܐܡ̣ܪ,ܐܡܪ
,ܠܗܘܢ,ܠܗܘܢ,ܕܝܢܚܡܪܐ,ܕܝܢܚܡܪܐ
ܫܠܡܟ_,ܒܛܒ݂ܬܐܘܕܥܒܕܝܢܒܝܫܬܐܦܪܥܠܗܘܢܒܒܝܫܬܐܘܣܐܡܒܪܫܗܘܢܓܗܢܐܘܫܘܢܩܐܒܪܠܝܬܒܝܢܝܘܠܟܣܛܪܡ̣ܢܐܠܗܐܫܠܝܛܐܗ̄ܘܕܝܢܕܢܦܪ̱ܥܟ,ܐܡܪܐܓܕܝܐ,ܫܠܡܟ,ܫܠܡܟ
ܗܢܐܢܐܬܐܥܠܡ̇ܢ,,,ܢܦ̮ܓܥܗ̄ܘ̣ܐ,ܢܦܓܥܗ̄ܘܐ
,,,ܒܗܘ,ܒܗܘ
ܕܐܣܪܢܝ,,,ܕܐܣܪܢܝ,ܕܐܣܪܢܝ
ܗܪܟܐܒܥܕܢ,,,ܒܙܒܢ,ܒܙܒܢ
ܪܡܫܐ܂,,,ܪܡܫܐ܂,ܪܡܫܐ܂
ܛܒܗ̄ܘܐܠܝܕܠܐܐܚܙܐܐܦܝ̈ܟ܂ܐܘ,,,ܘܠܘܝܠܐܚܙܝܬܦܪܨܘܦܟ܀,ܘܠܘܝܠܐܚܙܝܬܦܪܨܘܦܟ܀
,,,,ܝ
,,܀,,܀
ܒܪܝ,,ܐܚܪܢܐ܀ܐܡܪܡܪܝ܂ܐܘܕܥܕܟܠܕܥܒܕܕܒܝܫܒܝܫܡܬܦܪܥ܂ܘܕܥܒܕܕܛܒܒܛܢ̈ܬܐܡܬܦܪܥ♰܀܀,ܒܪܝ,ܒܪܝ
ܗ̤ܘܝܬ,,,ܗَܘܝܬ,ܗَܘܝܬ
ܠܝ,,,ܠܝ,ܠܝ
ܐܝܟ,ܐܝܟ,,ܐܝܟ,ܐܝܟ
ܦܚܐ,ܥܒܕܝܟ̈܂ܒܪܝܪܫܗܓܝܪܕܚܡܪܐܣܡܘܗܝ,,ܦܚܐ,ܦܚܐ
ܕܢܨܝܒ,,,ܕܥܠܙܒܠܐ܂ܐܡܪܬܠܗ̇,ܕܥܠܙܒܠܐ܂ܐܡܪܬܠܗ̇
ܥܠ,ܥܠ,,,
ܩܩܠܬܐܘܐܡܪܬܠܗ,ܦܬܘܪܐܘܢܦܠܘܐܬܓܢܕܪܥܠܐܪܥܐܐܡܪܘܕܝܢܥܠܢܦܫܗܗܘܐܬܚܡܬܕܠܐܢܩܒܠܪܘܡܪܡܐ܂ܘܐܝܩܪܐܒܪܝܐܫܬܕܪܬܓܝܪܡܠܬܐܕܐܡܝܪܐܕܝܠܕܬܝܗܝܩܪܝܘܗܝܒܪܟܘܕܪܒܝܬܝܗܝܕܝܢܩܪܝܘܗܝܥܒܕܟܒܪܝܝܬ݁ܝܪܡܢܗܕܐܡܠܬܐܕܫܪܝܪܐܠܝܬ,,,
ܨܦܪܐܡܢܐ,,,ܨܦܪܐܡܢܐ,ܨܦܪܐܡܢܐ
ܥܒܕܬܗܪܟܐ܂ܐܡܪܦܚܐܡܨܠܢܐܠܐܠܗܝ܂ܘܐܡܪܬܗܢܐܡܢܘܕܣܡܝܟ,,,ܥܒܕܐ,ܥܒܕܐ
ܐܢ̄ܬ,,,ܐܢ̄ܬ,ܐܢ̄ܬ
ܥܠܘܗܝ܂ܐܡܪܦܚܐܗܢܐ,,,ܗܪܟܐ,ܗܪܟܐ
,,,ܦܚܐ܂ܐܡܪ,ܦܚܐ܁ܐܡܪܬ
,,,ܓܝܪܦܚܐ,ܓܝܪܦܚܐ
,,,ܡܨܠܐ,ܡܨܠܝܐ
,,,ܐ̄ܢܐܠܐܠܗܐܡܪܝܡܐ܂ܐܡܪܬܬܘܒ,ܐ̄ܢܐܠܐܠܗܐܡܪܝܡܐ܂ܐܡܪܬܬܘܒ
,,,ܨܦܪܐܘܡܢ̇ܘ,ܘܡܢܘ
,,,ܗܢܐ,ܗܢܐ
,,,ܕܣܡܝܟܐܢ̄ܬܥܠܘܗܝ܂,ܕܣܡܝܟܐܐܢ̄ܬܝܥܠܘܗܝ܂
,,,ܐܡܪܬ,ܐܡܪܬ
,,,ܦܚܐ܂,ܦܚܐ
ܚܘܛܪܝ,,,ܚܘܛܪܝ,ܚܘܛܪܝ
ܗ̄ܘ̤,,,ܗ̄ܘ,ܐܝܬܘܗܝܕܡܣܬܡܟܐ
ܕܡܣܬܡܟ,,,ܕܡܣܬܡܟ,
ܐ̄ܢܐܥܠܘܗܝܒܥܕܢܨܠܘܬܐ܂ܘܐܡܪܬܨܦܪܐܗܢܐܡܢܘܗ̄ܘ,,,ܐ̄ܢܐܒܗܒܨܠܘܬܐ܂,ܐ̄ܢܐܒܗܒܨܠܘܬܐ܂
,,,ܘܐܡ̣ܪܬ,ܘܐܡܪܬ
,,,ܨܦܪܐ܂ܘܡܢܘܗܢܐ,ܨܦܪܐ܂ܘܡܢܘܗܢܐ
ܕܒܦܘܡܟ܂,,,ܕܒܦܘܡܟ܂,ܕܒܦܘܡܟ܂
ܐܡܪ,,,ܐܡܪ,ܐܡܪܬ
ܦܚܐܗܢܐܐܘܟܠܐܗ̄ܘܠܕܡܣܬܩܒܠܝܢ,,,ܦܚܐ܂ܗܢܐ,ܦܚܐ܂ܗܢܐ
,,,ܡܐܟܠܐ,ܡܐܟܠܐܐ
,,,ܗ̄ܘܘܡܫܬܝܐܕܐܝܠܝܢܕܨܝܒܝܢ,ܗ̄ܘܘܡܫܬܝܐܕܐܝܠܝܢܕܨܝܒܝܢ
ܠܘܬܝ܂,,,ܠܘܬܝ܂,ܠܘܬܝ܂
,,,ܨܦܪܐܕܝܢܐܡܪܬܡܕܝܢ,ܨܦܪܐܕܝܢܐܡܪܬܡܕܝܢ
,,,ܐܦܢܐܩܪܒܢܐ,ܐܦܐܢܐܩܪܒܐܐ̄ܢܐ
,,,ܘܐܟܠܢܐ܂,ܘܐܟܠܢܐ܂
ܐܡܪܬ,,,ܐܡܪܦܚܐܐܡܪܩܕܡܝ܂,ܐܡܪܬ
ܐܩܕܡ܂ܘܐܟܘܠ܂ܐܡܪܐܟܘܠ܂ܘܟܕܩܪܒܬ,,,,ܦܚܐܩܪܘܒܝ܂
,,,ܘܩܪܒܬ̤ܨܦܪܐܕܬܐܟܘܠܝ,ܘܩܪܒܬ̤ܨܦܪܐܕܬܐܟܘܠܝ
,,,ܘܐܚܕܗ̇,ܘܐܚܕܬܗ̇
,,,ܦܚܐܒܨܘܪܗ܂ܗܝܕܝܢܥܢܬ,ܦܚܐܒܨܘܪܗ܂ܗܝܕܝܢܥܢܬ
ܨܦܪܐ,,,ܨܦܪܐ,ܨܦܪܐ
ܐܚܕܦܚܐܒܩܕܠܗ̇܂ܦܢܝܬ,,,,
ܘܐܡܪܬܠܦܚܐ܂,,,ܘܐܡܪܬܠܦܚܐ܂,ܘܐܡܪܬܠܦܚܐ܂
ܐܢ,ܐܢ,,ܐܢܗܘ,ܐܢܗܘ
ܡ̇ܢ,ܕܝܢ,,ܕܠܚܡܟ,ܕܠܚܡܟܝ
ܗܢܐ,,,ܗܢܐ,ܗܢܐ
,,,ܠܟܦ̈ܢܐܗ̄ܘ܂,ܠܟܦܢ̈ܐܗ̄ܘ܇
,,,ܠܐܢܩܒܠܐܠܗܐ,ܠܐܢܩܒܠܐܠܗܐ
,,,ܙܕܩ̈ܬܟ܂,
,,,ܘܐܢܗܘ,ܘܐܢܗܘ
,,,ܕܨܘܡܟܗܢܐܘܨܠܘܬܟ,ܕܨܘܡܟܝܗܢܐܘܨܠܘܬܟܝ
,,,ܠܐܠܗܐ,ܠܐܠܗܐ
,,,ܗ̄ܘ̣܂,ܗ̄ܘ̣܆
,,,ܠܐܢܩܒܠ,ܠܐܢܩܒܠ
,,,ܨܘܡܟ,ܨܘܡܟܝ
,,,ܘܐܦܠܐ,ܘܐܦܠܐ
,,,ܨܠܘ̈ܬܟ܂,ܨܠܘܬܟ̈ܝ܇
,,,ܘܠܐܢܫܠܡܐܠܗܐ,ܘܠܐܢܫܠܡܐܠܗܐ
,,,ܥܡܟ,ܥܡܟܝ
,,,ܒܛܒܬܐ܀,ܒܛܒܬܐ܀
,,,,ܝܐ܀
,,,ܒܪܝܗܘܝܬܠܝܐܝܟܩܠܡܐܕܗܘܝܐ,ܒܪܝܗܘܝܬܠܝܐܝܟܩܠܡܐܕܗܘܝܐ
,,,ܒܚ̈ܛܐ܂,ܒܚܛ̈ܐ܆
,,,ܘܠܐܡܘܬܪܐ,ܘܠܐܡܘܬܪܐ
,,,ܡܕܡ܂,ܡܕܡ܆
,,,ܐܠܐܡܚܒܠܘܡܚܒܠܐ܀,ܐܠܐܡܚܒܠܘܡܚܒܠܐ܀
,,,,ܝܒ܀
,,,ܒܪܝܗܘܝܬܠܝܐܝܟܟܠܒܐ,ܒܪܝܗܘܝܬܠܝܐܝܟܟܠܒܐ
,,,ܕܡ̣ܢ,ܕܡܢ
,,,ܩܘܪܐܥܠܠܒܝܬܐܠܡܫܚܢ܂ܘܟܕ,ܩܘܪܐܥܠܠܒܝܬܐܠܡܫܚܢ܂ܘܟܕ
,,,ܫܚܢ܂,ܫܚܢ܇
,,,ܫܪܝܢܒܚܥܠܒܢܝ̈ܒܝܬܐ܀,ܫܪܝܢܒܚܥܠܒܢܝ̈ܒܝܬܐ܀
,,,,ܝܓ܀
