Borg_ar_201,Camb_Add_2886,Cambrigde_Add_3497,GCAA_00486,Mingana_ar_christ_93_84,Mingana_syr_133,Ms_orient_A_2652,Or_1292b,Paris_Arabe_3637,Vat_ar_2054
بكلامها,بكلامها,بكلامها,بكلامها,فيكلامها,بكلامها,بكلامها,بكلامها,بكلامها,
:,_,,,,,,,,
ليلاتموت,ليلاتموت,ليلاتموت,ليلاتموت,ليلاتموت,ليلاتموت,ليلاتموت,ليلاتموت,ليلاتموت,
بايشم,يايشماشمَّ,باوشم,بايشم,باشيم,باشد,بايشم,باوشم,باوشم,
موته:,موته,موته,موته,موته,موته,موته_,موته,موته,
وتعرقلك,وتعرقلك,وتعرقلك,وتعرقلك,وفيالمصيديتعرقلك,وتعرقلك,وتعرقلك,وتعرقلك,وتعرقلك,
فى,في,في,في,,في,في,في,في,
المصيده:,المصيده,المصيده,المصيده,,المصيده,المصيده,المصيده,المصيده,
وفى,حتى,وفى,وفي,وفي,وفي,وفي,وفي,وفي,
الفخ,,الفخ,الفخ,الفخ,الفخ,الفخ,الفخ,الفخ,
تنصاد,تنصاد_,وتنصاد,تنصاد,تنصاد,تنصاد,تنصاد_,وتنصاد,تنصاد,
يا,يا,يا,يا,يا,يا,يا,يا,(يا,
بنيلا,ابني,بنى,بنيلا,بنيلا,ابني,بنيلا,بنيلا,بني)لا,
تشتهِ,لا,لا,,تشتههإمرأة,لا,,,,
,تشتهي,تشتهى,تشتهي,,تشتهي,تشتهي,تشتهي,تشتهي,
امراه,امراة,امراه,امراه,,امراة,امراه,امراه,امراه,
مزخرفه,مزخرفه,مزخرفه,مزخرفه,مزخرفه,مزخرفة,مزخرفه,مزخرفه,مزخرفه,
بالثياب,بالتياب,بالتياب,بالتياب,بالتياب,بالثياب,بالثياب,بالتياب,بالتياب,
والادهان:,والادهان,والادهانوهىفى,والادهان,والادهان,والادهان,والادهان,والادهان,والادهان,
وهي,وهي,,وهي,,وهي,وهي,وهي,وهي,
في,في,,في,في,في,في,في,في,
نفسهاوقحه,نفسهاوقحه,نفسهاوقحه,نفسهاوقحه,نفسهاوقحه,نفسهاوقحه,نفسهاوقحه,نفسهاوقحه,نفسهاوقحه,
سفيهة:,سفيها_,سفيها,سفيهه,سفيها,سفيهه,سفيها_,سفيهه,سفيهه,
,,,,,_,,_,,
واياكان,واياكان,واياكان,واياكان,واياكان,واياكان,واياكان,واياكان,واياكان,
تطاوعها,,,تضيعها,تطعيها,تعطيها,,,,
,تطيعها,تطيعها,,,تطيعها,تطيعها,تطيعها,تطيعها,
في,بشيًا,وتعطيها,في,في,في,وتعطيها,وتعطيها,وتعطيها,
شيًا,,شيًا,شيا,شيًا,شيا,شيًا,شيًا,شيًا,
,,ما,,,ما,,ما,ما,
يكونلك:,يكونلك_,يكونلك,يكونلك,,يكونلك,يكونلك,يكونلك,يكونلك,
وتسلّمها,اوتسلمها,اوتسلمها,اوتسلمها,اوتسلمها,وتسلمها,اوتسلمها,اوتسلمها,اوتسلمها,
ما,ما,ما,ما,ما,ما,ما,ما,ما,
في,في,فى,في,في,في,في,في,في,
يدك:,يدك,يدك,يدك,يدك,يدك,يدك,يدك,يدك,
فتكسب,فتجيبكالى,فتلبسك,فتكسب,فتكسب,فتكسب,فتلبسك,فتلبسك,فتلبسك,
الخطيه:,الخطيه_,الخطيه,الخضيه,خطيه,الخطيه,الخطيه,الخطيه,الخطيه,
ويغضب,ويغضب,ويغضب,ويغضب,ويغضب,ويغصب,ويغضب,ويغضب,ويغضب,
اللهعليك,اللهعليك_,اللهعليك,اللهعليك,اللهعليك,اللهعليك,اللهعليك_,اللهعليك,اللهعليك,
يا,يا,يا,,يا,يا,يا,يا,(يا,
بني,ابني,بنى,,بني,ابني,بني,بني,بني),
لا,لا,لا,لا,لا,لا,لا,لا,لا,
تكون,تكون,تكون,تكون,تكن,تكون,تكون,تكون,تكون,
مثل,مثل,مثل,مثل,مثل,مثل,مثل,مثل,مثل,
شجرة,شجرة,شجرة,شجرة,شجرة,شجره,شجرة,شجرة,شجرة,
اللوز:,اللوز,اللوز,اللوز,اللوز,اللوز,اللوز,اللوز,اللوز,
لانها,لانها,لانها,لانها,التي,لانها,لانها,لانها,لانها,
تورققبلكل,تورققبلكل,تورققبلكل,تورققبلكل,تورققبلكل,تورققبلكل,تورققبلكل,تورققبلكل,تورققبلكل,
الاشجار:,الاشجار,شجرة,الشجر,الشجر,الاشجار,شجره,شجرة,شجرة,
واخرالكل,واخرالكل,واخرالكل,واخرالكل,واخرالكل,واخرالكل,واخرالكل,واخرالكل,واخرالكل,
تطعم:,تطعم_,تطعم,تضعم,تطعم,تطعم,تطعم_,تطعم,تطعم_,
بلكون,بلكون,بلكون,بلكون,بلكون,بلكون,بلكون,بلكون,بلكون,
حليم,,,,,,,,,
مثل,مثل,مثل,مثل,مثل,مثل,مثل,مثل,مثل,
شجرة,شجر,شجرة,شجر,شجرة,شجرة,شجر,شجرة,شجرة,
التوث:,التوت,التوت,التوت,التوت,التوت,التوت,التوت,التوت,
,الذي,الذى,الدي,التى,لانها,الذي,التي,التي,
,تطعم,تطعم,يطعم,تطعم,تطعم,يطعم,تطعم,تطعم,
,قبلكل,قبلكل,قبلكل,قبلكل,قبلكل,قبلكل,قبلكل,قبلكل,
,الاشجار,الأشجار,الشجر,الشجر,الاشجار,الاشجار,الاشجار,الاشجار,
,واخرالكلتورق_يا,واخرالكلتورقيا,واخرالكلتورقيا,واخرالكلتورقيا,واخرالكلتورقيا,واخرالكلتورق_يا,واخرالكلتورق_يا,واخرالكلتورق_(يا,
,بني,بنىاحنى,بني,بني,ابني,بني,بني,بني),
,احني,,احني,احني,احني,احني,احني,احني,
,راسك,راسك,راسك,راسك,راسك,راسك,راسك,راسك,
,الى,الى,الي,الي,الي,الى,الي,الي,
,اسفل,اسفل,اسفل,اسفل,اسفل,اسفل,اسفل,اسفل,
ولين,وليّن,ولين,ولين,ولين,ولين,ولين,ولين,ولين,
صوتك,صوتك,صوتك,صوتك,صوتك,صوتك,صوتك,صوتك,صوتك,
وكون,وكون,وكون,وكون,اذاضحكتاوتكلمتوكن,وكون,وكون,وكون,وكون,
متادّب:,متادب,متادب,متادب,متادب,متادب,متادّب,متادب,متأدب,
واسلك,واسلك,واسلك,واسلك,واسلك,واسلك,واسلك,واسلك,واسلك,
فى,في,في,في,في,في,في,في,في,
سبل,سبيل,سبل,سبل,سبيل,سبل,سبل,سبيل,سبل,
الصلاحولا,الصلاحولا,الصلاحولا,الصلاحولا,الصلاحولا,الصلاحولا,الصلاحولا,الصلاحولا,الصلاحولا,
تكون,تكون,تكون,تكون,تكن,تكون,تكون,تكون,تكون,
سفيه:,سفيه_,سفيه,سفيه,سفيه,سفيه,سفيه,سفيه,سفيه,
ولاترفعصوتك,ولاترفعصوتك,ولاترفعصوتك,ولاترفعصوتك,,ولاترفعصوتك,ولاترفعصوتك,ولاترفعصوتك,ولاترفعصوتك,
اذا,اذا,اذا,ادا,,اذا,اذا,اذا,اذا,
ضحكت:,ضحكت,ضحكت,ضحكت,,ضحكت,ضحكت,ضحكت,ضحكت,
اوتكلمت:,ياابني,اوتكلمت,اوتكلمت,,اوتكلمت,اوتكلمت,اوتكلمت_,اوتكلمت_,
لانلوكان,,لانلوكان,لانلوكان,لانلوكان,لانلوكان,لانلوكان,لانلوكان,لانلوكان,
بالصوت,,بالصوت,بالصوت,الصوت,بالصوت,بالصوت,بالصوت,بالصوت,
العالي,,العالى,العالي,العالي,العالي,العالي,العالي,العالي,
يبنا,,يبنا,يبنا,يبنهقصورلكان,يبنا,يبنا,يبنا,يبنا,
البيت:,,بيتًا,بيت,,بيت,بيتًا,بيتًا,بيتًا,
كان,,كان,كان,,كان,كان,كان,كان,
الحمار,,الحمار,الحمار,الحمار,الحمار,الحمار,الحمار,الحمار,
يبني,,,يبني,يبني,يبني,يبني,,,
كليوم,,كليوم,كليوم,كليوم,كليوم,كليوم,كليوم,كليوم,
,,,,,,,يبني,يبني,
بيوت,,يبنى,بيوت,بيوت,بيوت,,,,
,,بيوتًا,كتيره,كثيربسببصراخه,,بيوتًا,بيوتًا,بيوتًا,
كثيره,,كثيره_,,,كثيره,كثيره_يا,كثيره,كثيره,
,,يا,يا,يا,يا,,يا,(يا,
,,بنى,بني,بني,بني,بني,بني,بني),
,نقل,نقل,نقل,نقل,نقل,نقل,نقل,نقل,
,الحجاره,الحجاره,الحجاره,الحجارت,الحجاره,الحجاره,الحجاره,الحجاره,
,معرجلحكيماخيرمنشربالخمر,معرجلحكيماخيرمنشربالخمر,معرجلحكيماخيرمنشربالخمر,معرجلحكيماخيرمنشربالخمر,معرجلحكيماخيرمنشربالخمر,معرجلحكيماخيرمنشربالخمر,معرجلحكيماخيرمنشربالخمر,معرجلحكيماخيرمنشربالخمر,
,مع,مع,مع,مع,مع,مع,من,مع,
,رجل,رجل,رجل,رجل,رجل,رجلًا,رجل,رجل,
,الاليم,اليم,اليم,اليم,اليم,اليم,اليم,اليم,
,_,,,,,_,,,
يا,يا,يا,يا,يا,يا,يا,يا,(يا,
بني,بني,بنى,بني,بني,بني,بني,بني,بني),
اسكبخمرك,اسكبخمرك,اسكبخمرك,اسكبخمرك,اسكبخمرك,اسكبخمرك,اسكبخمرك,اسكبخمرك,اسكبخمرك,
على,على,على,علي,علي,علي,على,علي,علي,
قبورالصالحين:ولا,قبورالصالحين_ولا,قبورالصالحينولا,قبورالصالحينولا,قبورالصالحينولا,قبورالصالحينولا,قبورالصالحينولا,قبورالصالحينولا,قبورالصالحينولا,
تشربهُ,تشرب,تشربه,تشربه,تشربه,تشربه,تشربه,تشربه,تشربه,
مع,مع,مع,مع,مع,مع,مع,مع,مع,
اناس,اناس,أناس,اناس,ناس,اناس,اناس,اناس,اناس,
اليمين,,اليمين,اليمين,,اليمين,اليمين,اليمين,اليمين,
,,,,حمقين,,,,,
حمقين:,,,,,,,,,
,جاهلين,,ووقحين,جاهلين,,,,,
,وقحين_,وقحين_,,,وقحين,وقحين_,وقحين,وقحين,
يا,يا,يا,يا,يا,يا,يا,يا,(يا,
بني,بني,بنى,بني,بني,بني,بني,بني,بني),
التصق,التصق,التصق,التصق,التصق,التصق,التصق,التصق,التصق,
في,في,فىأناس,في,في,في,في,في,في,
اناس,اناس,,اناس,ناس,اناس,اناسٍ,اناس,اناس,
حكمايتقونالله,حكمايتقونالله,حكمايتقونالله,حكمايتقونالله,حكمايتقونالله,حكمايتقونالله,حكمايتقونالله,حكمايتقونالله,حكمايتقونالله,
,_,وكن,وتكونمتلهم,وكن,,,وكن,,
وكون,وكون,,,,وكون,وكون,,وكون,
مثلهم:,مثلهم,مثلهم,,مثلهم,مثلهم,مثلهم,مثلهم,مثلهم,
ولا,ولا,ولا,ولا,ولا,ولا,ولا,ولا,ولا,
تقترب,تقرب,تقرب,تقرب,تقرب,تقترب,تقرب,تقرب,تقرب,
الجهّال,,,,من,,,,,
,الجاهل,الجاهل,,الجاهل,الجاهل,الجاهل,الجاهل,الجاهل,
,,,الجهال,,الجهال,,,,
ليلاتصير,ليلاتصير,ليلاتصير,ليلاتصير,ليلاتصير,ليلاتصير,ليلاتصير,ليلاتصير,ليلاتصير,
مثلهم,مثله,مثله,متلهم,مثله,مثلهم,مثله,مثله,مثله,
وتتعلم,وتتعلم,وتتعلم,وتتعلم,وتتعلم,وتتعلم,وتتعلّم,وتتعلم,وتتعلم,
طرايقهم,طرايقه_,طرايقه,طرايقهم,طرايقه,طرايقهم,طرايقه_,طرايقه,طرايقه,
يا,يا,يا,يا,يا,يا,يا,يا,(يا,
بني,بني,بنى,بني,بني,بني,بني,بني,بني),
اذا,اذا,اذا,ادا,اذا,اذا,اذا,اذا,اذا,
اقتنيت,اقتنيت,اقتنيت,اقتنيت,اقتنيت,اقتنيت,اقتنيت,اقتنيت,اقتنيت,
صديق,صديق,صديقًا,صديق,صديقًا,صديق,صديقًا,صديقًا,صديقًا,
او,او,او,او,او,او,او,او,او,
صاحب:,صاحب,صاحبًا,صاحب,صاحب,صاحب,صاحبًا,صاحبًا,صاحبًا,
جربهُ,جربه_,جربه,جربه,جربه,جربه,جرّبه,جربه,جربه,
سابقًا,,,,سابقًا,سابقًا,,,,
وبعد,وبعد,وبعد,وبعد,وبعد,وبعد,وبعد,وبعد,وبعد,
ذلك,ذلك,ذلك,دلك,ذالكاصحبه,ذلك,ذلك,ذلك,ذلك,
عاشرهُ:,صادقهوصاحبه,صاحبه,صادقهوصاحبه,,عاشره,صاحبه,صاحبه,صاحبه_,
وبغيرتجربه,وبغيرتجربه,وبغيرتجربه,وبغيرتجربه,وبغيرتجربه,وبغيرتجربه,وبغيرتجربه,وبغيرتجربه,وبغيرتجربه,
لا,فلا,لا,لا,لا,لا,لا,لا,لا,
تحمده:ولا,تحمدهولا,تحمدهولا,تحمدهولا,تحمدهولا,تحمدهولا,تحمدهولا,تحمدهولا,تحمدهولا,
تفسد,تفسد,تفشى,تفسد,تفسد,تفسد,تفسر,تفشي,تفشي,
كلامكمع,كلامكمع,كلامكمع,كلامكمع,كلامكمع,كلامكمع,كلامكمع,كلامكمع,كلامكمع,
رجلًا,رجل,رجل,رجل,رجل,رجل,رجل,رجل,رجل,
غيرحكيميا,غيرحكيم_يا,غيرحكيميا,غيرحكيميا,غيرحكيميا,غيرحكيميا,غيرحكيم_يا,غيرحكيميا,غيرحكيم(يا,
بني,بني,بنى,بني,بني,بني,بني,بني,بني),
مادام,مادام,مادام,مادام,مادام,مادام,مادام,مادام,مادام,
حذاك,,,,,,,,,
فيرجلك,فيرجلك,فيرجلك,فيرجلك,فيرجلك,فيرجلك,فيرجلك,فيرجلك,فيرجلك,
كفّ,خفا,خف,خف,خف,خف,خف,خف,خف,
امشي,امشي,امشى,امشي,امشي,امشي,امشي,امشي,امشي,
بهِ,به,به,به,به,به,بهِ,بهِ,به,
على,على,على,علي,علي,على,على,علي,علي,
الشوك:واعمل,الشوكواعمل,الشوكواعمل,الشوكواعمل,الشوكواعمل,الشوكواعمل,الشوكواعمل,الشوكواعمل,الشوكواعمل,
طريقًا,طريقًا,طريقًا,طريقًا,طريق,طريقًا,طريقًا,طريقًا,طريقًا,
لبنوك,لبنوك,لبنوك,لبنوك,لبنوك,لبنوك,لبنوك,لبنوك,لبنوك,
وبني,وبني,وبنى,وبني,وبني,وبني,وبني,وبني,وبني,
بيتك:,بيتك,بنوك,بيتك,بنوك,بيتك,بنيك,بنوك,بنوك,
,وبنيك,,وعدل,عدّل,وعدل,,,وعدل,
وعدّل,وعدّل,وعدّل,,,,وعدّل,وعدّل,,
سفينتكقبلان,سفينتكقبلان,سفينتكقبلان,سفينتكقبلان,سفينتكقبلان,سفينتكقبلان,سفينتكقبلان,سفينتكقبلان,سفينتكقبلان,
يهيج,تدخلالى,يهيج,يهيج,يهيج,يهيج,يهيج,يهيج,يهيج,
البحروامواجه:,البحروامواجه,البحروامواجه,البحروامواجه,البحروامواجه,البحروامواجه,البحروامواجه,البحروامواجه,البحروامواجه,
وتغرق,وتفرق,وتغرق,وتغرق,ويغرقك,وتغرق,وتغرق,وتغرق,وتغرق,
ولاتقدر,ولاتقدر,ولاتقدر,ولاتقدر,,ولاتقدر,ولاتقدر,ولاتقدر,ولاتقدر,
,ان,ان,ان,,,ان,ان,ان,
تخلص,تخلص_,تخلص,تخلص,,تخلص,تخلص_,تخلص,تخلص,
يا,يا,يا,يا,يا,يا,يا,يا,(يا,
بني,بني,بنى,بني,بني,بني,بني,بني,بني),
الغني,اقنعفيرزقك,الغنى,الغني,الغني,الغني,الغنى,الغني,الغنى,
اذا,,اذا,ادا,اذا,اذا,اذا,اذا,اذا,
اكل,,اكل,اكل,اكل,اكل,اكل,اكل,اكل,
الحيّه:,,الحيه,الحيه,الحيه,الحيه,الحيّه,الحيه,الحيه,
يقولون,,يقولون,يقولون,يقول,يقولون,يقولون,يقولون,يقولون,
الناسمنحكمته:,,الناسمنحكمته,الناسمنحكمته,الناسمنحكمته,الناسمنحكمته,الناسمنحكمته,الناسمنحكمته,الناسمنحكمته,
واذا,,واذا,وادا,واذا,واذا,واذا,واذا,واذا,
اكلها,,اكلها,اكلها,اكلها,اكلها,اكلها,اكلها,اكلها,
المسكين,,رجل,رجل,المسكين,المسكين,رجل,رجل,رجل,
,,مسكين,فقير,يقول,,مسكين,مسكين,مسكين,
يقولون,,يقولون,يقولون,,يقولون,يقولوا,يقولون,يقولون,
الناسمنجوعه,,الناسمنجوعه,الناسمنجوعه,الناسمنجوعه,الناسمنجوعه,الناسمنجوعه,الناسمنجوعه,الناسمنجوعه,
,,,,,,_,,,
يا,,يا,يا,يا,يا,يا,يا,(يا,
بني,,بنى,بني,بني,بني,بني,بني,بني),
يقنعك,,يقنعك,يقنعك,كل,يقنعك,يقنعك,يقنعك,يقنعك,
رزقك,,راسك,رزقك,رزقك,رزقك,راسك,راسك,راسك,
ومالك:ولاترغبفي,ومالكولاترغبفي,ومالكولاترغبفي,ومالكولاترغبفي,ومالكولاترغبفي,ومالكولاترغبفي,ومالكولاترغبفي,ومالكولاترغبفي,ومالكولاترغبفي,
رزق,شي,شى,شي,رزق,رزق,شي,شي,شي,
غيرك,غيره_,غيرك,غيرك,غيرك,غيرك,غيرك,غيرك,غيرك,
يا,يا,يا,يا,واما,يا,يا,يا,(يا,
بني,بني,بنى,بني,,بني,بني,بني,بني),
لاتجاور,لاتجاور,لاتجاور,لاتجاور,,لاتجاور,لاتجاور,لاتجاور,لاتجاور,
الاحمق,الاحمق,الاحمق,الاحمق,الاحمق,الاحمق,الاحمق,الاحمق,الاحمق,
,,,,فلاتجاوره,,,,,
ولاتاكلمعهخبز:ولا,ولاتاكلمعهخبزولا,ولاتاكلمعهخبزولا,ولاتاكلمعهخبزولا,ولاتاكلمعهخبزولا,ولاتاكلمعهخبزولا,ولاتاكلمعهخبزولا,ولاتاكلمعهخبزولا,ولاتاكلمعهخبزولا,
,,,,تعقدمعهسرولا,,,,,
تفرح,تفرح,تفرح,تفرح,تفرح,تفرح,تفرح,تفرح,تفرح,
فى,في,في,في,في,في,في,في,في,
اسيّات,اسيات,اسيات,اسيات,سيات,اسيات,اسيّات,اسيات,اسيات,
جيرانك:,جيرانك,جيرانك,جيرانك,جيرانك,جيرانك,جيرانك_,جيرانك,جيرانك,
واذا,واذا,واذا,وادا,واذا,واذا,واذا,واذا,واذا,
اسااليك,اسااليك,اسااليك,اسااليك,اسااليك,اسااليك,اسااليك,اسااليك,اسااليك,
عدوك,عدوك,عدوك,عدوك,عدوك,عدوك,عدوّك,عدوك,عدوك,
باديه,باديه,فباديهانت,باديه,باديه,باديه,باديه,فباديهانت,فباديهانت,
,بالحسان_,,,,,انت,,,
بالاحسان,,بالاحسان,بالاحسان,بالاحسان,بالاحسان,بالاحسان_,بالاحسان,بالاحسان,
,يا,يا,يا,والجود,يا,يا,يا,(يا,
,بني,بنى,بني,,بني,بني,بني,بني),
,رجل,رجل,رجلًا,,رجل,رجلًا,رجل,رجل,
,الذي,ما,,,,ما,ما,ما,
,يخافالله,يخافالله,يخافالله,,يخافالله,يخافالله,يخافالله,يخافالله,
,اخاف,خاف,خاف,,خاف,خاف,خاف,خاف,
,انتمنهواكرمه_,انتمنهواكرمه,انتمنهواكرمه,,انتمنهواكرمه,انتمنهواكرمه_,انتمنهواكرمه,انتمنهواكرمه,
يا,يا,يا,يا,يا,يا,يا,يا,(يا,
بني,بني,بنى,بني,بني,بني,بني,بني,بني),
الجاهل,الجاهل,الجاهل,الجاهل,الجاهل,الجاهل,الجاهل,الجاهل,الجاهل,
يعثر,يقع,يقع,يقع,يعتر,يعثر,يقع,يقع,يقع,
ويقع:,ويعتر_,ويعتر,ويعتر,ويقع,ويقع,ويعثر,ويعتر,ويعتر,
والحكيمولو,والحكيمولو,والحكيمولو,والحكيمولو,والرجلالعاقل,والحكيمولو,والحكيمولو,والحكيمولو,والحكيمولو,
عثر,عتر,عتر,عتر,,عثر,عثر,عتر,عتر,
مايتزعزع,مايتزعزع,مايتزعزع,مايتزعزع,مايتزعزع,مايتزعزع,مايتزعزع,مايتزعزع,مايتزعزع,
ولايقعوان,ولوان,ولايقعوان,ولايقعوان,واذا,ولايقعوان,ولايقعوان,ولايقعوان,ولايقعوان,
وقع,وقع,وقع,وقع,وقع,وقع,وقع,وقع,وقع,
يقومعاجلًا:,يقومعاجلًا,يقومعاجلًا,يقومعاجلًا,,يقومعاجلًا,يقومعاجلًا,يقومعاجلًا,يقومعاجلًا,
واذا,واذا,واذا,وادا,,واذا,واذا,واذا,واذا,
مرض,مرض,مرض,مرض,,مرض,مرض,مرض,مرض,
,يقدر,يقدر,يقدر,يقدر,,يقدر,يقدر,يقدر,
يعالج,يعالج,يعالج,يعالج,يعالج,يعالج,يعالج,يعالج,يعالج,
روحه,روحه_,روحه_,روحه,نفسه,روحه,روحه_,روحه_,روحه_,
واماالجاهلالاحمقليس,واماالجاهلالاحمقليس,واماالجاهلالاحمقليس,واماالجاهلالاحمقليس,واماالجاهلالاحمقليس,واماالجاهلالاحمقليس,واماالجاهلالاحمقليس,واماالجاهلالاحمقليس,واماالجاهلالاحمقليس,
لدايه,لدايه,لدايه,لدايه,يقدر,لدايه,لدايه,لدايه,لدايه,
دوا,دوى_,دوا,دوا,,دوا,دوا_,دوا,دوا,
يابني,يا,يا,يا,يا,,يا,يا,(يا,
,بني,بنى,بني,بني,,بني,بني,بني),
اذا,اذا,اذا,ادا,اذا,,اذا,اذا,اذا,
استقبلك,استقبلك,استقبلك,استقبلك,استقبلك,,استقبلك,استقبلك,استقبلك,
رجل,رجل,رجلًا,رجل,رجل,,رجلًا,رجلًا,رجلًا,
اقلّ,اقلّ,اقل,اقل,اقل,,اقلّ,اقل,اقل,
